User,Search Pattern,Search Type,Start End,Start Time,End Time,Result Count,TheSaurus
123,perfect-forward-backward,search box,1,2017-12-29 11:03:32 +0900,2017-12-29 11:03:45 +0900,965,0
2127797,perfect-forward-backward,search box,0,2017-12-29 14:30:11 +0900,2017-12-29 14:30:11 +0900,0,0
2127797,perfect-forward-backward,search box,1,2017-12-29 14:30:11 +0900,2017-12-29 14:30:11 +0900,0,0
123,perfect-forward-backward,search box,0,2017-12-29 15:48:30 +0900,2017-12-29 15:48:30 +0900,0,0
123,perfect-forward-backward,search box,1,2017-12-29 15:48:30 +0900,2017-12-29 15:48:31 +0900,21,1
123,perfect-forward-backward,search box,0,2017-12-29 15:50:18 +0900,2017-12-29 15:50:18 +0900,0,0
123,perfect-forward-backward,search box,1,2017-12-29 15:50:18 +0900,2017-12-29 15:50:23 +0900,220,1
123,perfect-forward-backward,search box,0,2017-12-29 18:11:17 +0900,2017-12-29 18:11:17 +0900,0,0
123,perfect-forward-backward,search box,1,2017-12-29 18:11:17 +0900,2017-12-29 18:11:18 +0900,21,1
123,perfect-forward-backward,search box,0,2017-12-29 18:14:36 +0900,2017-12-29 18:14:36 +0900,0,0
123,perfect-forward-backward,search box,1,2017-12-29 18:14:36 +0900,2017-12-29 18:14:49 +0900,965,0
123,perfect-forward-backward,search box,0,2017-12-29 18:15:51 +0900,2017-12-29 18:15:51 +0900,0,0
123,perfect-forward-backward,search box,1,2017-12-29 18:15:51 +0900,2017-12-29 18:16:04 +0900,965,0
123,perfect-forward-backward,search box,0,2018-01-03 18:24:55 +0900,2018-01-03 18:24:55 +0900,0,0
123,perfect-forward-backward,search box,1,2018-01-03 18:24:55 +0900,2018-01-03 18:24:56 +0900,21,1
123,perfect-forward-backward,search box,0,2018-01-04 15:37:55 +0900,2018-01-04 15:37:55 +0900,0,0
123,perfect-forward-backward,search box,1,2018-01-04 15:37:55 +0900,2018-01-04 15:38:05 +0900,443,1
123,perfect-forward-backward,search box,0,2018-01-04 16:23:47 +0900,2018-01-04 16:23:47 +0900,0,0
123,perfect-forward-backward,search box,1,2018-01-04 16:23:47 +0900,2018-01-04 16:23:48 +0900,21,1
123,perfect-forward-backward,search box,0,2018-01-05 12:59:13 +0900,2018-01-05 12:59:13 +0900,0,0
123,perfect-forward-backward,search box,1,2018-01-05 12:59:13 +0900,2018-01-05 12:59:14 +0900,21,1
123,perfect-forward-backward,search box,0,2018-01-05 15:33:43 +0900,2018-01-05 15:33:43 +0900,0,0
123,perfect-forward-backward,search box,1,2018-01-05 15:33:43 +0900,2018-01-05 15:33:53 +0900,443,1
123,perfect-forward-backward,search box,0,2018-01-05 15:34:03 +0900,2018-01-05 15:34:03 +0900,0,0
123,perfect-forward-backward,search box,1,2018-01-05 15:34:03 +0900,2018-01-05 15:34:12 +0900,443,1
2232594,perfect-forward-backward,search box,0,2018-01-09 09:33:59 +0900,2018-01-09 09:33:59 +0900,0,0
2232594,perfect-forward-backward,search box,1,2018-01-09 09:33:59 +0900,2018-01-09 09:34:02 +0900,107,1
1231545,perfect-forward-backward,search box,0,2018-01-10 08:33:11 +0900,2018-01-10 08:33:11 +0900,0,0
1231545,perfect-forward-backward,search box,1,2018-01-10 08:33:11 +0900,2018-01-10 08:33:13 +0900,21,1
1234567,perfect-forward-backward,search box,0,2018-01-10 10:26:26 +0900,2018-01-10 10:26:26 +0900,0,0
1234567,perfect-forward-backward,search box,1,2018-01-10 10:26:26 +0900,2018-01-10 10:26:27 +0900,21,1
1234567,grep,search box,0,2018-01-10 10:29:22 +0900,2018-01-10 10:29:22 +0900,0,0
1234567,grep,search box,1,2018-01-10 10:29:22 +0900,2018-01-10 10:29:22 +0900,24,1
1234,perfect-forward-backward,search box,0,2018-01-10 11:15:44 +0900,2018-01-10 11:15:44 +0900,0,0
1234,perfect-forward-backward,search box,1,2018-01-10 11:15:44 +0900,2018-01-10 11:15:45 +0900,21,1
1234,perfect-forward-backward,search box,0,2018-01-10 11:15:52 +0900,2018-01-10 11:15:52 +0900,0,0
1234,perfect-forward-backward,search box,1,2018-01-10 11:15:52 +0900,2018-01-10 11:15:53 +0900,21,1
1234567,perfect-forward-backward,search box,0,2018-01-10 11:41:38 +0900,2018-01-10 11:41:38 +0900,0,0
1234567,perfect-forward-backward,search box,1,2018-01-10 11:41:38 +0900,2018-01-10 11:41:39 +0900,21,1
123456,perfect-forward-backward,search box,0,2018-01-10 12:01:52 +0900,2018-01-10 12:01:52 +0900,0,0
123456,perfect-forward-backward,search box,1,2018-01-10 12:01:52 +0900,2018-01-10 12:01:55 +0900,107,1
12345,perfect-forward-backward,search box,0,2018-01-10 12:10:09 +0900,2018-01-10 12:10:09 +0900,0,0
12345,perfect-forward-backward,search box,1,2018-01-10 12:10:09 +0900,2018-01-10 12:10:19 +0900,443,1
